,Year,Month,Day,Pressure (hPa),Temperature (oC),Dew Point Temp (oC),Relative Humidity (%),Wind Speed(m/s),wind direction(deg),Soil Moisture (kg m-2) at 10 cm depth,Rainfall (mm),PETo,AETo
108,2019,4,19,1007.025,31.49444444,21.94722222,58.27567759,2.5088235290000003,147.77777780000002,19.04111377,711.7,2.473160297937256,2.4710132921572128
109,2019,4,20,1005.3,31.06857143,21.61666667,58.58478939,2.703125,160.0,20.48671371,63.3,2.582015045943822,2.555907254913574
110,2019,4,21,1004.6125,33.80540541,20.22162162,46.7805418,2.394117647,190.9677419,19.80645545,192.3,3.1041934976737022,3.0917082018223203
111,2019,4,22,1006.175,30.18536585,22.41707317,64.98101433,3.186486486,136.4516129,18.87628597,17.8,2.4442383762004356,2.3626802597000625
112,2019,4,23,1007.3875,32.68717949,18.04615385,44.90931314,2.522222222,171.03448280000003,18.20754155,216.3,3.1882351612326034,3.176522611453684
113,2019,4,24,1007.3875,34.98333333,16.85833333,36.61065594,2.235483871,140.0,17.56995822,0.0,3.4524996794208915,0.0
114,2019,4,25,1006.1875,35.8375,16.4025,33.79164441,1.645714286,134.5454545,17.00526655,0.0,2.802157877257308,0.0
115,2019,4,26,1005.0,36.67894737,16.82631579,32.66332342,2.209090909,160.0,16.51576099,0.0,3.7988785189407697,0.0
116,2019,4,27,1004.6125,36.51666667,17.29459459,34.19410081,2.215625,213.5,16.1063554,0.0,3.6856337779453217,0.0
117,2019,4,28,1004.5125,36.20540541,19.18918919,38.81039034,1.958064516,161.7391304,15.75702491,0.0,3.0908724862221804,0.0
118,2019,4,29,1004.125,36.42727273,20.26666667,41.91119226,1.756666667,166.25,15.48883598,0.0,2.6202866967547753,0.0
119,2019,4,30,1002.625,35.62857143,20.36,42.86302120000001,2.237142857,240.8333333,15.33600544,0.0,3.225757364718479,0.0
120,2019,5,1,1000.742857,35.10857143,17.63142857,38.44326315,2.8411764710000003,250.3448276,15.44320543,0.0,4.078506478927604,0.0
121,2019,5,2,1000.475,36.93783784,13.22972973,25.33399919,3.989189189,295.55555560000005,15.6505137,30.2,7.002591704062872,6.614419049329944
122,2019,5,3,1003.0,35.66578947,13.53243243,27.70144507,3.352631579,275.1351351,15.73035824,0.0,5.748617828634325,0.0
123,2019,5,4,1006.275,35.31351351,13.18888889,28.05006615,3.178378378,279.72222220000003,15.45057485,0.0,5.365433067934002,0.0
124,2019,5,5,1006.9,35.95675676,12.60540541,25.58274009,2.838235294,306.7857143,15.14061934,0.0,5.202975068852655,0.0
125,2019,5,6,1005.1875,35.92926829,12.0,24.67779985,2.246666667,182.9166667,14.89004706,0.0,4.289691562854033,0.0
126,2019,5,7,1003.3875,36.94166667,12.55555556,24.61717295,1.724,176.875,14.88820542,0.0,3.3955257354815993,0.0
127,2019,5,8,1003.65,36.4075,12.075,24.05294114,2.817241379,198.4615385,14.81484153,0.0,5.317951785692539,0.0
128,2019,5,9,1003.3,35.63181818,13.4,27.32661796,2.202857143,180.3225806,14.73806653,0.0,4.068617426294397,0.0
129,2019,5,10,1003.7,36.34054054,14.47027027,28.31565266,2.351724138,199.2307692,15.07144434,0.0,4.282023175024527,0.0
130,2019,5,11,1005.5875,34.46585366,19.28780488,44.2065145,2.812820513,137.1428571,18.94025545,0.0,3.6369196149197753,0.0
131,2019,5,12,1005.4,32.81886792,19.48113208,47.53189099,1.784313725,159.0,19.8399499,158.6,2.319349994988814,2.3108962887825593
132,2019,5,13,1003.4,35.97435897,18.0974359,37.46143495,2.167567568,125.862069,18.83693325,0.0,3.3678619297340324,0.0
133,2019,5,14,1003.4625,36.03076923,18.16410256,35.85499498,2.436111111,135.5882353,18.09685553,6.0,3.997905698608879,3.250006307055875
134,2019,5,15,1005.175,35.02368421,19.58648649,42.42170542,2.3135135140000003,179.23076919999997,18.36199721,0.0,3.3024005221921167,0.0
135,2019,5,16,1005.75,36.51764706,15.42058824,31.45794089,1.982352941,256.1538462,18.22592223,0.0,3.3613690325076298,0.0
136,2019,5,17,1005.2625,36.28717949,18.92051282,38.49104041,2.125,152.5806452,17.67087777,0.0,3.3019284855787014,0.0
137,2019,5,18,1004.3875,36.61142857,15.18285714,29.24468083,2.626923077,156.5217391,17.25242224,0.0,4.670194747932437,0.0
138,2019,5,19,1004.75,37.53333333,14.87435897,27.79852111,1.813513514,145.0,16.97779721,0.0,3.431146505597869,0.0
139,2019,5,20,1005.05,37.41891892,19.24864865,36.2985668,2.696969697,152.4137931,16.68236388,0.0,4.357649492111303,0.0
140,2019,5,21,1005.35,35.87368421,19.61578947,42.65837388,2.867647059,174.83870969999995,16.22639719,16.8,3.816636090606331,3.609245768464142
141,2019,5,22,1004.325,36.15675676,20.28918919,40.86541183,1.993939394,169.58333330000005,15.83321108,155.5,3.092196644231076,3.076887663973695
142,2019,5,23,1004.175,36.45945946,21.23783784,42.65229167,1.911428571,189.6969697,15.66222498,2.0,2.9024728222303855,1.6295221281558672
143,2019,5,24,1004.55,36.13333333,19.8,39.89925178,1.945454545,212.4137931,15.45398057,0.0,3.0585540901571386,0.0
144,2019,5,25,1002.675,37.12105263,17.63157895,33.43636776,2.7516129030000003,208.9285714,15.18216667,0.0,4.584336178536763,0.0
145,2019,5,26,1001.1625,38.59459459,16.81351351,29.56329518,2.091176471,268.75,15.05911666,0.0,3.8743143275890946,0.0
146,2019,5,27,1001.6625,36.87692308,19.74358974,38.86218761,3.293333333,260.6666667,14.98095557,0.0,4.856603073646985,0.0
